Date,Name,Year,Letterboxd URI,Rating
2024-03-17,The Gray Man,2022,https://boxd.it/rb7q,3.5
2024-03-17,Lars and the Real Girl,2007,https://boxd.it/21tG,4
2024-03-17,The French Dispatch,2021,https://boxd.it/jLP8,3.5
2024-03-17,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2024-03-17,Isle of Dogs,2018,https://boxd.it/dZrW,3.5
2024-03-17,Wonka,2023,https://boxd.it/tCQm,4
2024-03-17,The King,2019,https://boxd.it/ieZs,3
2024-03-17,Oppenheimer,2023,https://boxd.it/wUow,5
2024-03-17,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2024-03-17,Ferrari,2023,https://boxd.it/cEtq,2.5
2024-03-17,The Truman Show,1998,https://boxd.it/18U8,4
2024-03-17,The Menu,2022,https://boxd.it/lScm,4
2024-03-17,The Queen's Gambit,2020,https://boxd.it/s1Ym,4.5
2024-03-17,Five Nights at Freddy's,2023,https://boxd.it/ikHu,3.5
2024-03-17,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,2.5
2024-03-17,Get Out,2017,https://boxd.it/eOCm,4
2024-03-17,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4.5
2024-03-17,Catch Me If You Can,2002,https://boxd.it/29VS,4
2024-03-17,The Dark Knight Rises,2012,https://boxd.it/H3m,3
2024-03-17,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2024-03-17,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2024-03-17,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3.5
2024-03-17,Thor,2011,https://boxd.it/1WQU,3
2024-03-17,Thor: The Dark World,2013,https://boxd.it/2DqA,2.5
2024-03-17,Rush,2013,https://boxd.it/3lyS,3
2024-03-17,Spiderhead,2022,https://boxd.it/mLsO,3.5
2024-03-17,Venom,2018,https://boxd.it/b8wA,4
2024-03-17,(500) Days of Summer,2009,https://boxd.it/1EmM,5
2024-03-17,Baby Driver,2017,https://boxd.it/bhF2,4
2024-03-17,Zodiac,2007,https://boxd.it/27MO,4
2024-03-17,Trainspotting,1996,https://boxd.it/29XY,4.5
2024-03-17,Big Fish,2003,https://boxd.it/2a3M,4
2024-03-17,Gran Turismo,2023,https://boxd.it/B2lS,3
2024-03-17,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,4
2024-03-17,John Wick: Chapter 4,2023,https://boxd.it/mh48,3.5
2024-03-17,Grown Ups,2010,https://boxd.it/169a,3
2024-03-17,Cars 2,2011,https://boxd.it/H4Y,4
2024-03-17,Divergent,2014,https://boxd.it/4VT0,3
2024-03-17,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4.5
2024-03-17,Hacksaw Ridge,2016,https://boxd.it/azew,4
2024-03-17,Never Let Me Go,2010,https://boxd.it/Xw0,3.5
2024-03-17,A Beautiful Mind,2001,https://boxd.it/2amk,3.5
2024-03-17,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4
2024-03-17,The Fast and the Furious,2001,https://boxd.it/1XMu,4.5
2024-03-17,Ted,2012,https://boxd.it/2pgc,4
2024-03-17,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK,4
2024-03-17,Ted 2,2015,https://boxd.it/6oCY,3.5
2024-03-17,Eternals,2021,https://boxd.it/j36o,2.5
2024-03-17,Cars 3,2017,https://boxd.it/7IPq,4.5
2024-03-17,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,3.5
2024-03-17,The Platform,2019,https://boxd.it/mUm6,4.5
2024-03-17,Geostorm,2017,https://boxd.it/8lC6,2.5
2024-03-17,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,3.5
2024-03-17,2 Fast 2 Furious,2003,https://boxd.it/2a4g,4
2024-03-17,Wreck-It Ralph,2012,https://boxd.it/2TTS,3.5
2024-03-17,Ant-Man,2015,https://boxd.it/3vmW,3.5
2024-03-17,It Chapter Two,2019,https://boxd.it/h10u,2.5
2024-03-17,Jumper,2008,https://boxd.it/20ss,3
2024-03-17,Love & Other Drugs,2010,https://boxd.it/UIi,4
2024-03-17,The Ritual,2017,https://boxd.it/fo0I,3.5
2024-03-17,Cherry,2021,https://boxd.it/jRhm,3.5
2024-03-17,The Adam Project,2022,https://boxd.it/q2Dg,3.5
2024-03-17,Red Notice,2021,https://boxd.it/ixtq,3.5
2024-03-18,Shutter Island,2010,https://boxd.it/1U82,5
2024-03-18,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,4.5
2024-03-20,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,5
2024-03-20,Django Unchained,2012,https://boxd.it/2cCk,4
2024-03-25,Dune,2021,https://boxd.it/fA7G,4
2024-04-02,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2024-04-16,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,3
2024-06-15,The Guilty,2021,https://boxd.it/kOPW,3
2024-06-19,The Big Lebowski,1998,https://boxd.it/2b6C,3.5
2024-07-15,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5
2024-07-18,Greenland,2020,https://boxd.it/j1Um,2.5
2024-08-05,Palm Springs,2020,https://boxd.it/lCXQ,3.5
2024-08-06,Good Boy,2022,https://boxd.it/B9LI,3
2024-08-07,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2024-08-09,The Great Gatsby,2013,https://boxd.it/JY,4.5
2024-08-09,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4.5
2024-08-10,The Hunt,2020,https://boxd.it/iE9i,2
2024-08-14,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/1XYq,3
2024-08-14,The Banshees of Inisherin,2022,https://boxd.it/p7XS,5
2024-08-19,Parasite,2019,https://boxd.it/hTha,5
2024-08-24,Longlegs,2024,https://boxd.it/KzLM,4
2024-08-25,Deadpool & Wolverine,2024,https://boxd.it/jq8s,4
2024-08-25,The Interview,2014,https://boxd.it/6KQ4,3
2024-08-25,Grimsby,2016,https://boxd.it/7ZkO,3.5
2024-08-25,In the Tall Grass,2019,https://boxd.it/iZpm,3.5
2024-08-25,Nobody,2021,https://boxd.it/mLqS,4
2024-08-25,Back to the Future,1985,https://boxd.it/2b8e,4
2024-08-26,Se7en,1995,https://boxd.it/29zs,4.5
2024-08-27,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-08-29,Stay,2005,https://boxd.it/20BE,4.5
2024-08-29,American Psycho,2000,https://boxd.it/28Vs,4
2024-08-29,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2024-08-29,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2024-08-29,Deadpool,2016,https://boxd.it/9fOC,4
2024-08-29,Dunkirk,2017,https://boxd.it/d0Y6,4
2024-08-29,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2024-08-29,Hamilton,2020,https://boxd.it/kmvE,4
2024-08-29,Apostle,2018,https://boxd.it/f0so,4
2024-08-29,The Devil All the Time,2020,https://boxd.it/i2tY,4
2024-08-29,Joker,2019,https://boxd.it/h4cS,4.5
2024-08-30,Sometimes I Think About Dying,2023,https://boxd.it/xGlg,3.5
2024-08-31,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2024-09-01,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2024-09-01,Kill Bill: The Origin of O-Ren,2003,https://boxd.it/8r9a,4.5
2024-09-06,(Un)lucky Sisters,2024,https://boxd.it/FPG4,2.5
2024-09-06,My Girl,1991,https://boxd.it/24PK,4.5
2024-09-13,Midsommar,2019,https://boxd.it/jhxe,4
2024-09-16,The Old Way,2023,https://boxd.it/wVKo,2.5
2024-09-18,Trigger Warning,2024,https://boxd.it/qlN0,1
2024-09-18,The Union,2024,https://boxd.it/qkD4,2
2024-09-20,Inception,2010,https://boxd.it/1skk,5
2024-09-21,His House,2020,https://boxd.it/l8Qq,3
2024-09-28,Interstellar,2014,https://boxd.it/4VZ8,5
2024-09-29,Terrifier,2016,https://boxd.it/eRzg,3
2024-09-29,X,2022,https://boxd.it/sxVa,3.5
2024-09-30,Pearl,2022,https://boxd.it/zPbe,3
2024-09-30,The Fall Guy,2024,https://boxd.it/s0Bm,4
2024-10-01,Dead Poets Society,1989,https://boxd.it/2aSg,5
2024-10-04,Inside Out,2015,https://boxd.it/4KHC,3.5
2024-10-29,Justice League Dark,2017,https://boxd.it/en7G,3.5
2024-10-29,Escape Room,2019,https://boxd.it/iYlS,2
2024-11-10,The Batman,2022,https://boxd.it/eDGs,4.5
2024-11-12,Venom: Let There Be Carnage,2021,https://boxd.it/llco,3.5
2024-11-12,Venom: The Last Dance,2024,https://boxd.it/ynqo,3
2024-11-17,Batman: Gotham by Gaslight,2018,https://boxd.it/gU7e,3
2024-11-18,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,3.5
2024-12-14,The Croods: A New Age,2020,https://boxd.it/jeHK,3.5
2024-12-15,The Substance,2024,https://boxd.it/zanS,3.5
2024-12-15,Prisoners,2013,https://boxd.it/4E5i,4
2024-12-22,28 Days Later,2002,https://boxd.it/2aXU,4
2024-12-26,Immaculate,2024,https://boxd.it/Douw,3
2025-01-03,The Witch,2015,https://boxd.it/9X0m,3.5
2025-01-04,We Live in Time,2024,https://boxd.it/FC5u,4.5
2025-01-12,12 Angry Men,1957,https://boxd.it/2auI,5
2025-01-18,The Curse of La Llorona,2019,https://boxd.it/hg0E,2.5
2025-01-26,Nosferatu,2024,https://boxd.it/f5eG,3
2025-01-28,The Hateful Eight,2015,https://boxd.it/8gw8,4.5
2025-02-07,Gerald's Game,2017,https://boxd.it/buKa,2.5
2025-02-08,Movie 43,2013,https://boxd.it/37qK,1.5
2025-02-28,Cinnamon the Movie,2007,https://boxd.it/rdwW,4
2025-02-28,Brokeback Mountain,2005,https://boxd.it/2b2q,3.5
2025-02-28,No Country for Old Men,2007,https://boxd.it/21ew,4
2025-03-01,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a,4.5
2025-03-02,Paddington,2014,https://boxd.it/3RKw,4
2025-03-03,Paddington 2,2017,https://boxd.it/bCF8,4
2025-03-10,Midnight Mass,2021,https://boxd.it/wvVA,5
2025-03-10,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,4
2025-03-14,Prey for the Devil,2022,https://boxd.it/pelQ,1
